"Word","Count"
"Ab","1"
"Abandoned","8"
"Abbr","8"
"Abbrev","21"
"Abbreviate","2"
"Abbreviated","38"
"Abbreviator","3"
"Abcd","5"
"Aberration","1"
"Aboriginal","4"
"Abort","86"
"Aborted","141"
"Aborting","55"
"Abortive","3"
"Above","6"
"Abr","8"
"Abs","82"
"Absent","11"
"Absolute","143"
"Absorb","1"
"Abst","2"
"Abstract","70"
"Acc","14"
"Accelerated","10"
"Accept","238"
"Acceptable","6"
"Accepted","16"
"Accepting","2"
"Access","787"
"Accessed","10"
"Accessibility","8"
"Accessible","5"
"Accessor","127"
"Accessors","62"
"Account","38"
"Accounts","4"
"Acct","2"
"Accumulate","13"
"Accumulated","3"
"Accumulator","15"
"Accumulators","2"
"Ace","89"
"Aces","8"
"Ach","1"
"Ack","12"
"Acknowledged","6"
"Acl","89"
"Acos","14"
"Acosh","7"
"Acquire","77"
"Acquired","12"
"Acquires","1"
"Acquiring","1"
"Across","50"
"Acting","1"
"Action","730"
"Actions","6"
"Activ","2"
"Activate","5"
"Activated","4"
"Activating","2"
"Activation","22"
"Activator","10"
"Active","161"
"Activities","5"
"Activity","263"
"Actor","8"
"Actual","82"
"Adapt","2"
"Adapter","124"
"Adapters","2"
"Add","2567"
"Added","36"
"Addend","235"
"Adder","5"
"Adders","1"
"Addess","1"
"Adding","39"
"Addition","51"
"Additional","58"
"Additive","6"
"Addr","96"
"Addref","1"
"Address","1706"
"Addresses","111"
"Addressing","8"
"Addrlen","2"
"Adj","2"
"Adjacent","10"
"Adjust","44"
"Adjustable","1"
"Adjusted","15"
"Adjustment","84"
"Adjustments","1"
"Admin","8"
"Administrator","2"
"Administrators","1"
"Admins","5"
"Adv","5"
"Advance","95"
"Advanced","6"
"Advapi","7"
"Advertisement","1"
"Advertisements","16"
"Advf","2"
"Advise","11"
"Aead","2"
"Aefa","2"
"Aes","44"
"Af","4"
"Affected","16"
"Affiliation","1"
"Affinity","16"
"After","229"
"Again","4"
"Against","1"
"Age","47"
"Agent","21"
"Agg","50"
"Aggregatable","1"
"Aggregate","192"
"Aggregated","5"
"Aggregates","1"
"Aggregation","84"
"Aggregator","44"
"Aggressive","12"
"Agile","1"
"Agree","1"
"Agreement","19"
"Ahead","19"
"Ai","19"
"Aia","2"
"Aiueo","2"
"Ajdust","1"
"Al","6"
"Alarm","5"
"Alc","6"
"Alert","30"
"Alertable","2"
"Alg","112"
"Alghashname","2"
"Algid","8"
"Algname","2"
"Algorithm","668"
"Algorithms","4"
"Algs","2"
"Alias","55"
"Aliased","4"
"Aliases","7"
"Alice","3"
"Align","60"
"Align=","60"
"Aligned","152"
"Aligning","1"
"Alignment","80"
"Alive","126"
"All","629"
"Alloc","58"
"Allocate","71"
"Allocated","66"
"Allocation","44"
"Allocations","1"
"Allocator","13"
"Allow","475"
"Allowed","204"
"Allows","8"
"Almond","3"
"Alone","23"
"Alonetable","1"
"Alpha","10"
"Alphabetic","3"
"Alphanumeric","2"
"Alphanumerics","2"
"Alpn","26"
"Already","190"
"Also","13"
"Alt","34"
"Altered","3"
"Alternate","23"
"Alternation","24"
"Alternative","11"
"Alternatives","1"
"Always","19"
"Am","5"
"Ambient","13"
"Ambig","18"
"Ambiguity","4"
"Ambiguous","87"
"Ambiguousbuffers","2"
"Amd","2"
"Amount","104"
"Amp","2"
"Ampersand","4"
"Ampm","1"
"Amps","2"
"An","6"
"Analysis","8"
"Analytic","2"
"Analyze","34"
"Analyzed","1"
"Analyzer","13"
"Anc","8"
"Ancestor","50"
"Ancestors","18"
"Anchor","71"
"Anchors","5"
"And","1217"
"Android","2"
"Angle","8"
"Animation","1"
"Animator","1"
"Ann","4"
"Annonymous","1"
"Annotate","50"
"Annotated","8"
"Annotation","65"
"Annotations","14"
"Anomaly","2"
"Anon","28"
"Anonmeth","2"
"Anonymous","59"
"Anonymously","2"
"Another","4"
"Ansi","38"
"Antecedent","40"
"Antique","3"
"Any","844"
"Anycast","7"
"Anything","3"
"Apartment","15"
"Apc","11"
"Aph","2"
"Api","18"
"Apis","2"
"Apm","5"
"Apos","1"
"App","166"
"Apparent","1"
"Appear","1"
"Appearance","5"
"Append","425"
"Appended","2"
"Appending","2"
"Appinfo","5"
"Apple","2"
"Applicable","10"
"Application","133"
"Applications","1"
"Applied","3"
"Apply","103"
"Apppend","3"
"Approach","4"
"Appropriate","8"
"Approx","2"
"Approximation","1"
"Aqua","3"
"Aquamarine","6"
"Ar","14"
"Arabic","17"
"Arbitrary","27"
"Arch","6"
"Architecture","22"
"Archivable","1"
"Archive","101"
"Archived","10"
"Archiving","4"
"Are","88"
"Area","5"
"Arg","2923"
"Argb","12"
"Argc","1"
"Arginfos","1"
"Arglist","7"
"Argp","4"
"Args","1194"
"Argtype","1"
"Argument","2284"
"Arguments","675"
"Argv","3"
"Arith","6"
"Arithmetic","197"
"Arithmetical","1"
"Arity","13"
"Arm","24"
"Armenian","2"
"Armv","1"
"Around","7"
"Arr","22"
"Arrange","3"
