"Word","Count"
"Aad","3"
"Ab","1"
"Abandoned","8"
"Abbr","8"
"Abbrev","21"
"Abbreviate","2"
"Abbreviated","38"
"Abbreviator","3"
"Abcd","5"
"Aberration","1"
"Aboriginal","4"
"Abort","270"
"Aborted","268"
"Aborter","8"
"Aborting","55"
"Abortive","3"
"Above","7"
"Abr","8"
"Abs","88"
"Absent","11"
"Absolute","207"
"Absorb","1"
"Abst","2"
"Abstract","86"
"Abstractions","3"
"Acc","15"
"Accelerated","10"
"Accept","479"
"Acceptable","16"
"Accepted","85"
"Accepting","15"
"Accepts","27"
"Access","963"
"Accessed","17"
"Accessibility","16"
"Accessible","8"
"Accessing","2"
"Accessor","311"
"Accessors","70"
"Account","48"
"Accounts","4"
"Acct","2"
"Accumulate","13"
"Accumulated","4"
"Accumulator","28"
"Accumulators","2"
"Accuracy","7"
"Ace","89"
"Aces","8"
"Ach","1"
"Ack","38"
"Acked","2"
"Acknowledged","6"
"Acknowledgement","5"
"Ackowledgement","1"
"Acl","89"
"Acos","14"
"Acosh","7"
"Acquire","109"
"Acquired","35"
"Acquires","1"
"Acquiring","1"
"Across","50"
"Acting","1"
"Action","2127"
"Actions","91"
"Activ","2"
"Activatable","1"
"Activate","60"
"Activated","22"
"Activating","2"
"Activation","39"
"Activator","140"
"Activators","6"
"Active","260"
"Activeds","3"
"Activities","5"
"Activity","340"
"Actor","8"
"Actual","96"
"Adapt","2"
"Adapter","226"
"Adapters","3"
"Adaptive","1"
"Add","3767"
"Added","47"
"Addend","236"
"Adder","5"
"Adders","1"
"Addess","1"
"Adding","43"
"Addition","60"
"Additional","223"
"Additions","1"
"Additive","6"
"Addr","96"
"Addref","1"
"Address","1901"
"Addresses","165"
"Addressing","8"
"Addrlen","2"
"Adj","2"
"Adjacent","10"
"Adjust","44"
"Adjustable","1"
"Adjusted","15"
"Adjustment","84"
"Adjustments","1"
"Admin","9"
"Administrative","1"
"Administrator","2"
"Administrators","1"
"Admins","5"
"Adv","5"
"Advance","170"
"Advanced","11"
"Advapi","12"
"Advertisement","1"
"Advertisements","16"
"Advf","2"
"Advise","11"
"Aead","2"
"Aefa","2"
"Aes","62"
"Af","4"
"Affected","16"
"Affiliation","1"
"Affinity","16"
"After","420"
"Again","4"
"Against","1"
"Age","131"
"Agent","41"
"Agg","50"
"Aggregatable","1"
"Aggregate","202"
"Aggregated","5"
"Aggregates","1"
"Aggregation","84"
"Aggregator","44"
"Aggressive","12"
"Agile","1"
"Agree","20"
"Agreement","20"
"Ahead","19"
"Ai","19"
"Aia","2"
"Aiueo","2"
"Ajax","1"
"Ajdust","1"
"Al","6"
"Alarm","5"
"Alc","6"
"Alert","30"
"Alertable","2"
"Alg","137"
"Alghashname","2"
"Algid","8"
"Algname","2"
"Algorithm","1084"
"Algorithms","21"
"Algs","2"
"Alias","65"
"Aliased","4"
"Aliases","7"
"Alice","3"
"Align","60"
"Align=","61"
"Aligned","152"
"Aligning","1"
"Alignment","84"
"Alive","226"
"All","895"
"Alloc","107"
"Allocate","85"
"Allocated","69"
"Allocating","6"
"Allocation","44"
"Allocations","1"
"Allocator","22"
"Allow","713"
"Allowable","4"
"Allowed","369"
"Allowing","1"
"Allows","12"
"Alls","12"
"Almond","3"
"Alone","23"
"Alonetable","1"
"Alpha","17"
"Alphabetic","3"
"Alphanumeric","8"
"Alphanumerics","2"
"Alpn","30"
"Already","254"
"Also","15"
"Alt","91"
"Altered","3"
"Alternate","26"
"Alternation","24"
"Alternative","14"
"Alternatives","1"
"Always","35"
"Am","5"
"Ambient","44"
"Ambig","18"
"Ambiguity","5"
"Ambiguous","128"
"Ambiguousbuffers","2"
"Amd","2"
"Amount","105"
"Amp","2"
"Ampersand","4"
"Ampm","1"
"Amps","2"
"An","17"
"Analysis","8"
"Analytic","2"
"Analytical","1"
"Analyze","34"
"Analyzed","1"
"Analyzer","14"
"Anc","36"
"Ancestor","52"
"Ancestors","19"
"Ancestral","3"
"Anchor","75"
"Anchors","5"
"And","1464"
"Android","4"
"Angle","8"
"Animation","1"
"Animator","1"
"Ann","4"
"Annonymous","1"
"Annotate","50"
"Annotated","8"
"Annotation","72"
"Annotations","54"
"Anomaly","2"
"Anon","28"
"Anonmeth","2"
"Anonymous","80"
"Anonymously","2"
"Another","4"
"Ansi","50"
"Antecedent","42"
"Anti","3"
"Antiforgery","173"
"Antique","3"
"Any","927"
"Anycast","7"
"Anything","3"
"Aot","7"
"Apache","4"
"Apartment","15"
"Apc","11"
"Aph","2"
"Api","187"
"Apis","10"
"Apm","13"
"Apos","1"
"App","372"
"Apparent","1"
"Appear","1"
"Appearance","5"
"Append","627"
"Appended","3"
"Appending","2"
"Appinfo","5"
"Apple","4"
"Applicable","14"
"Application","761"
"Applications","1"
"Applied","13"
"Applies","8"
"Apply","215"
"Apppend","3"
"Approach","4"
"Appropriate","8"
"Approx","2"
"Approximation","1"
"Aqua","3"
"Aquamarine","6"
"Ar","14"
"Arabic","17"
"Arbitrary","27"
"Arch","6"
"Architecture","32"
"Archivable","1"
"Archive","103"
"Archived","10"
"Archiving","4"
"Are","120"
"Area","120"
"Arg","3457"
"Argb","12"
"Argc","1"
"Arginfos","1"
"Arglist","7"
"Argp","4"
"Args","1525"
"Argtype","1"
"Argument","2674"
"Arguments","947"
"Argv","3"
"Arith","6"
"Arithmetic","197"
"Arithmetical","1"
"Arity","17"
"Arm","24"
"Armenian","2"
"Armv","1"
"Around","7"
"Arr","23"
"Arrange","3"
"Array","3166"
"Arraylist","1"
"Arrays","23"
"Arrinit","1"
"Arrow","5"
"Arrows","8"
"Ary","2"
"As","1556"
"Asc","5"
